		kWh (Gross CV)	0.25199	0.24887	2e-05	0.00309			
	Fuel oil	tonnes	3228.89019	3216.38	5.3872	7.12299			
		litres	3.17492	3.16262	0.0053	0.00701			
		kWh (Net CV)	0.28523	0.28413	0.00047	0.00063			
		kWh (Gross CV)	0.26813	0.26709	0.00045	0.0006			
	Gas oil	tonnes	3226.57859	3190	3.6848	32.89379			
		litres	2.75541	2.72417	0.00315	0.02809			
		kWh (Net CV)	0.27288	0.26978	0.00031	0.00278			
		kWh (Gross CV)	0.2565	0.25359	0.00029	0.00261			
	Lubricants	tonnes	3180.99992	3171.09	3.4272	6.48272			
		litres	2.74934	2.74078	0.00296	0.0056			
		kWh (Net CV)	0.281	0.28013	0.0003	0.00057			
		kWh (Gross CV)	0.26414	0.26332	0.00028	0.00054			
	Naphtha	tonnes	3142.3789	3131.33	3.8192	7.2297			
		litres	2.11894	2.11149	0.00258	0.00487			
		kWh (Net CV)	0.24891	0.24804	0.0003	0.00057			
		kWh (Gross CV)	0.23647	0.23564	0.00029	0.00054			
	Petrol (average biofuel blend)	tonnes	2772.97935	2754.25	10.8416	7.88775			
		litres	2.06916	2.05523	0.00806	0.00587			
		kWh (Net CV)	0.23181	0.23026	0.0009	0.00065			
		kWh (Gross CV)	0.21956	0.21811	0.00084	0.00061			
	Petrol (100% mineral petrol)	tonnes	3154.08213	3135	11.0432	8.03893			
		litres	2.33984	2.32567	0.0082	0.00597			
		kWh (Net CV)	0.25431	0.25276	0.0009	0.00065			
		kWh (Gross CV)	0.24159	0.24013	0.00085	0.00061			
	Processed fuel oils - residual oil	tonnes	3228.89019	3216.38	5.3872	7.12299			
		litres	3.17492	3.16262	0.0053	0.00701			
		kWh (Net CV)	0.28523	0.28413	0.00047	0.00063			
		kWh (Gross CV)	0.26813	0.26709	0.00045	0.0006			
	Processed fuel oils - distillate oil	tonnes	3226.57859	3190	3.6848	32.89379			
		litres	2.75541	2.72417	0.00315	0.02809			
		kWh (Net CV)	0.27288	0.26978	0.00031	0.00278			
		kWh (Gross CV)	0.2565	0.25359	0.00029	0.00261			
	Refinery miscellaneous	tonnes	2944.32093	2933.33	3.7968	7.19413			
		litres							
		kWh (Net CV)	0.25961	0.25864	0.00034	0.00063			
		kWh (Gross CV)	0.24663	0.24571	0.00031	0.0006			
	Waste oils	tonnes	3219.37916	3171.09	3.5504	44.73876			
		litres	2.74924	2.70801	0.00302	0.0382			
		kWh (Net CV)	0.27459	0.27047	0.0003	0.00381			
		kWh (Gross CV)	0.25641	0.25256	0.00028	0.00357			
	Marine gas oil	tonnes	3245.30441	3205.99	0.9072	38.40721			
		litres	2.77139	2.73782	0.00077	0.0328			
		kWh (Net CV)	0.27445	0.27113	8e-05	0.00325			
		kWh (Gross CV)	0.25798	0.25486	7e-05	0.00305			
	Marine fuel oil	tonnes	3154.75334	3113.99	1.4224	39.34094			
		litres	3.10202	3.06194	0.0014	0.03868			
		kWh (Net CV)	0.27869	0.27509	0.00012	0.00348			
		kWh (Gross CV)	0.26197	0.25858	0.00012	0.00326			
Activity	Fuel	Unit	kg CO2e	kg CO2e of CO2 per unit	kg CO2e of CH4 per unit	kg CO2e of N2O per unit			
Solid fuels	Coal (industrial)	tonnes	2395.28994	2370.72	7.6384	16.93154			
		kWh (Net CV)	0.33944	0.33595	0.00109	0.0024			
		kWh (Gross CV)	0.32246	0.31915	0.00103	0.00228			
	Coal (electricity generation)	tonnes	2225.22448	2213.33	0.672	11.22248			
		kWh (Net CV)	0.33621	0.33443	0.0001	0.00168			
		kWh (Gross CV)	0.31939	0.3177	0.0001	0.00159			
	Coal (domestic)	tonnes	2904.95234	2632	240.352	32.60034			
		kWh (Net CV)	0.36549	0.33115	0.03024	0.0041			
		kWh (Gross CV)	0.34721	0.31459	0.02873	0.00389			
	Coking coal	tonnes	3164.65002	3144.16	8.4672	12.02282			
		kWh (Net CV)	0.37675	0.37431	0.00101	0.00143			
		kWh (Gross CV)	0.3579	0.35559	0.00095	0.00136			
	Petroleum coke	tonnes	3386.57168	3377.05	3.8304	5.69128			
		kWh (Net CV)	0.35887	0.35786	0.0004	0.0006			
		kWh (Gross CV)	0.34092	0.33997	0.00038	0.00057			
	Coal (electricity generation - home produced coal only)	tonnes	2221.7467	2209.87	0.672	11.2047			
		kWh (Net CV)	0.33621	0.33443	0.0001	0.00168			
		kWh (Gross CV)	0.31939	0.3177	0.0001	0.00159			
FAQs									
I need a conversion factor for ‘therms’, how can I convert the kWh conversion factors to suit my needs?									
We provide a specific conversion table at the back of these listings to allow organisations to convert the conversion factors into different units where required.   Please see the ‘Conversions’ tab.									
I need a conversion factor for my specific % biofuel blend, rather than the “average biofuel blend” factor that is reported here.									
The steps taken to calculate this by hand are straightforward and can be illustrated using the following worked example (consistent for all biofuels, conventional fuels, scopes and units):

Company B wants to report on its Scope 1 fuel emissions (in kgCO2e/litre) from a specific biodiesel blend of X%. Using 2021 values, it is known that:
●100% mineral diesel conversion factor = 2.706 kgCO2e/litre
●Biodiesel ME conversion factor (see Bioenergy sheet) = 0.168 kgCO2e/litre

Therefore, X% biodiesel blend conversion factor = (X% x 0.168) + [(1-X%) x 2.706]									
Do the factors for fuels include the indirect effects of non-CO2 emissions (water vapour, contrails, NOX, etc.) or radiative forcing?									
